mu,sigma,runtime,fn.evals,K,gp
-0.01676818509748436,0.6135250595102185,0.296875,9.0,500.0,4.0
0.09190898219697322,0.35471019494518874,0.4375,12.0,25.0,0.0
-0.001123709151512851,0.49916016412898484,0.109375,11.0,50.0,1.0
0.01987834780729685,0.6137756939225909,0.34375,9.0,100.0,2.0
-0.034725161462789894,0.9159813531658484,0.265625,7.0,250.0,3.0
-0.03515524911649819,0.6786443215250432,0.359375,12.0,500.0,4.0
0.08880992348994042,0.3858005577882463,0.359375,10.0,25.0,0.0
-0.013673439177295832,0.44121394769621625,0.390625,9.0,50.0,1.0
0.04311723547768528,0.6236736346922287,0.359375,13.0,100.0,2.0
0.038025259404123636,0.763728495873133,0.515625,16.0,250.0,3.0
0.029090440766861105,0.6417735843688857,0.3125,9.0,500.0,4.0
-0.02830857696041358,0.37604779403419736,0.078125,12.0,25.0,0.0
-0.03622673894684156,0.46720216128884834,0.375,17.0,50.0,1.0
-0.027480545727238893,0.6585495432035479,0.109375,10.0,100.0,2.0
-0.01682691179327138,0.8779038580927948,0.078125,10.0,250.0,3.0
0.01924884444618608,0.6652458934582688,0.265625,10.0,500.0,4.0
0.02253021120206907,0.349609804820943,0.3125,7.0,25.0,0.0
0.005959407126059961,0.45522417705165563,0.375,10.0,50.0,1.0
0.011885930140146805,0.6502900455613366,0.3125,15.0,100.0,2.0
-0.03179337037682222,0.9664847097486534,0.3125,6.0,250.0,3.0
-0.07158387564993707,0.6710661531857458,0.34375,9.0,500.0,4.0
0.07490454209018041,0.3086796630035274,0.34375,12.0,25.0,0.0
-0.01934065160400843,0.4899242140176528,0.40625,13.0,50.0,1.0
0.009042096419261686,0.6571245242068866,0.28125,13.0,100.0,2.0
-0.11199207548471937,0.9996206747611208,0.421875,13.0,250.0,3.0
-0.039747669715148544,0.6901640988256079,0.34375,11.0,500.0,4.0
0.04897356073005354,0.3679898512336629,0.359375,9.0,25.0,0.0
0.03041289531819004,0.5255556941494353,0.359375,15.0,50.0,1.0
0.010642979598094708,0.6189696500340794,0.359375,18.0,100.0,2.0
-0.04999829700638506,0.809239663364627,0.3125,8.0,250.0,3.0
-0.05119613286715695,0.6934036592930858,0.390625,17.0,500.0,4.0
0.015423715656737141,0.3838629912948364,0.359375,8.0,25.0,0.0
-0.12443642464671796,0.4102962587649027,0.4375,15.0,50.0,1.0
-0.10980851690367677,0.6584700239777053,0.328125,6.0,100.0,2.0
-0.018135268402045206,0.9904214527217422,0.3125,6.0,250.0,3.0
0.013929963521825092,0.6404224617977083,0.046875,7.0,500.0,4.0
0.04592918688002204,0.41656769884325323,0.421875,7.0,25.0,0.0
0.028188558574673093,0.46271187706443123,0.390625,12.0,50.0,1.0
0.009767639437181922,0.6544596435357714,0.390625,12.0,100.0,2.0
-0.0008828290232487995,0.9345025538002707,0.078125,6.0,250.0,3.0
-0.006998055422755041,0.6406104446692334,0.3125,12.0,500.0,4.0
0.0053399929277605914,0.3134895205401905,0.09375,13.0,25.0,0.0
-0.04494607823642705,0.4792469033958695,0.109375,11.0,50.0,1.0
-0.05365914404381082,0.8137240997767968,0.421875,7.0,100.0,2.0
-0.07467970253536362,0.9284213755715214,0.359375,9.0,250.0,3.0
0.00823510124339434,0.6508119408430143,0.390625,11.0,500.0,4.0
-0.13252561368491966,0.29190059847596145,0.28125,9.0,25.0,0.0
-0.012392002524800314,0.4089613944293695,0.390625,8.0,50.0,1.0
-0.05463938374121218,0.6655020033650859,0.5,16.0,100.0,2.0
-0.1417322514813548,0.9217184011027493,0.421875,17.0,250.0,3.0
-0.031814209454865044,0.6428682431051719,0.34375,10.0,500.0,4.0
-0.06374044566698056,0.2841219290116594,0.296875,11.0,25.0,0.0
-0.0705821698875244,0.44807565196161636,0.359375,11.0,50.0,1.0
-0.05022636300424067,0.6986716778921477,0.234375,7.0,100.0,2.0
-0.002375441187732607,0.7925095320229856,0.046875,8.0,250.0,3.0
0.01956904970827255,0.6441004068670351,0.359375,13.0,500.0,4.0
-0.02721983078657153,0.28920664901450294,0.390625,13.0,25.0,0.0
-0.05840047927801831,0.5010465412162128,0.359375,18.0,50.0,1.0
0.06493727234424929,0.8381338958605801,0.4375,15.0,100.0,2.0
-0.10088025541432301,0.9677168631812487,0.328125,7.0,250.0,3.0
-0.028332567293837433,0.6446030638072177,0.15625,10.0,500.0,4.0
0.04676872127408112,0.3347752278073969,0.46875,14.0,25.0,0.0
-0.019063592654822294,0.38386920431294247,0.3125,8.0,50.0,1.0
-0.04853361793625674,0.6640071102226764,0.3125,8.0,100.0,2.0
0.009271407775372836,0.9177467051055709,0.359375,10.0,250.0,3.0
0.0015967724356377407,0.6053148147562246,0.375,17.0,500.0,4.0
-0.12484480182561102,0.3451282821481267,0.34375,8.0,25.0,0.0
0.0032768126122745614,0.4969153938000373,0.046875,8.0,50.0,1.0
-0.1503244460501274,0.6135647170076304,0.0625,12.0,100.0,2.0
-0.053863057641300886,0.8648454006985246,0.3125,13.0,250.0,3.0
-0.05420843813822494,0.6776343466748369,0.5625,16.0,500.0,4.0
-0.18284680159467392,0.3565707179358383,0.40625,20.0,25.0,0.0
-0.027646522488503123,0.4611415570601085,0.34375,10.0,50.0,1.0
-0.002283390824094721,0.7205654846978963,0.296875,11.0,100.0,2.0
-0.022814088079761638,0.8094514622283939,0.453125,18.0,250.0,3.0
-0.02468718584668906,0.6767547717065089,0.40625,17.0,500.0,4.0
-0.009650429426063513,0.27281899014885924,0.234375,9.0,25.0,0.0
